Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
10,10,Catch,150,green,12.5,177.5,-26.880000000000003,-24.96,0.05,0.5,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,4,10,2,1,1,5,0.034013605442176874,0.3333333333333333,0.006756756756756757,0,0,0,2,0.043478260869565216,0.0,0.0,High,Medium,-0.9659864
11,11,Catch,150,red,182.5,243.5,-26.880000000000003,-28.8,0.015,0.875,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,9,18,3,4,5,0,0.0,0.7142857142857143,0.027210884353741496,0,2,2,0,0.0,1.0,0.05,Low,High,-1.0
12,12,Catch,150,red,73.5,111.5,-26.880000000000003,-28.8,0.015,0.125,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,7,17,3,2,2,1,0.006896551724137931,0.4,0.013605442176870748,1,2,1,1,0.01639344262295082,0.3333333333333333,0.031746031746031744,Low,Low,-0.99310344
13,0,Straight,229,green,97.0,108.78571,-26.880000000000003,24.96,0.015,0.125,0.075,11450,2,1.0,1.0,0,-1,,,,,204,1,1,2,3,2,6,16,4,3,2,5,0.02252252252252252,0.2857142857142857,0.013333333333333334,1,0,0,1,0.011494252873563218,0.0,0.0,Low,Low,0.32794458
14,1,Straight,167,red,97.0,147.21428,26.880000000000003,-24.96,0.05,0.5,0.075,8350,0,0.0,0.0,0,-1,,,,,165,1,1,2,3,1,3,13,3,3,4,2,0.012422360248447204,0.6666666666666666,0.018292682926829267,0,1,1,0,0.0,1.0,0.04,High,Medium,-0.9753096
15,2,Straight,238,blue,128.0,223.20409,-26.880000000000003,28.8,0.05,0.875,0.075,11900,1,1.0,1.0,1,-1,,,,,225,3,3,1,2,3,6,15,2,6,8,3,0.013043478260869565,1.0,0.025423728813559324,1,1,2,2,0.024691358024691357,1.0,0.012195121951219513,High,High,-0.84364724
16,3,Straight,191,red,159.0,20.0,26.880000000000003,-28.8,0.015,0.125,0.075,9550,2,0.0,0.0,1,-1,,,,,166,3,3,1,2,1,1,2,3,2,1,3,0.016129032258064516,0.2,0.010638297872340425,0,1,0,2,0.03333333333333333,0.0,0.01639344262295082,Low,Low,0.27354643
17,4,Straight,208,green,97.0,90.16327,26.880000000000003,-28.8,0.015,0.5,0.075,10400,0,0.0,0.0,1,-1,,,,,206,2,2,3,1,2,3,16,2,7,5,1,0.005025125628140704,0.5555555555555556,0.03398058252427184,0,3,1,0,0.0,0.3333333333333333,0.04225352112676056,Low,Medium,-0.989975
18,5,Straight,221,blue,128.0,207.87755,-26.880000000000003,24.96,0.05,0.875,0.075,11050,1,1.0,1.0,0,-1,,,,,208,2,2,3,1,3,10,18,3,6,8,3,0.014150943396226415,0.8888888888888888,0.027522935779816515,0,3,3,1,0.017543859649122806,1.0,0.05,High,High,0.15506881
19,6,Straight,237,red,159.0,39.89796,-26.880000000000003,-24.96,0.05,0.125,0.075,11850,0,1.0,0.0,0,-1,,,,,235,1,1,2,3,1,6,7,3,5,1,6,0.026200873362445413,0.125,0.021367521367521368,0,3,1,3,0.05660377358490566,0.3333333333333333,0.05357142857142857,High,Low,-0.94828475
20,7,Straight,178,green,159.0,219.89796,26.880000000000003,28.8,0.015,0.5,0.075,8900,2,0.0,1.0,1,-1,,,,,153,2,2,3,1,2,9,15,2,4,3,1,0.005813953488372093,0.5,0.022727272727272728,0,3,2,0,0.0,0.6666666666666666,0.031914893617021274,Low,Medium,-0.86475146
21,8,Straight,178,blue,128.0,223.20409,-26.880000000000003,28.8,0.015,0.875,0.075,8900,1,1.0,1.0,1,-1,,,,,165,2,2,3,1,3,1,16,4,2,5,3,0.01744186046511628,0.8333333333333334,0.011494252873563218,1,0,1,1,0.029411764705882353,1.0,0.0,Low,High,0.18364066
22,9,Straight,193,blue,128.0,62.183674,26.880000000000003,-24.96,0.05,0.125,0.075,9650,1,0.0,0.0,0,-1,,,,,180,3,3,1,2,3,5,2,4,2,1,6,0.03208556149732621,0.16666666666666666,0.010582010582010581,1,0,0,3,0.05263157894736842,0.0,0.0,High,Low,-0.6612758
23,10,Straight,318,green,97.0,200.91837,-26.880000000000003,28.8,0.05,0.5,0.075,15900,2,1.0,1.0,1,-1,,,,,293,1,1,2,3,2,5,4,6,4,4,7,0.022727272727272728,0.4,0.01282051282051282,2,0,1,5,0.049019607843137254,0.5,0.0,High,Medium,0.32932335
24,11,Straight,185,red,97.0,74.52041,26.880000000000003,-24.96,0.015,0.875,0.075,9250,0,0.0,0.0,0,-1,,,,,183,1,1,2,3,1,4,7,3,2,5,1,0.005555555555555556,1.0,0.01098901098901099,1,0,1,0,0.0,1.0,0.0,Low,High,-0.98891973
25,12,Straight,168,blue,128.0,197.61224,-26.880000000000003,28.8,0.015,0.125,0.075,8400,1,1.0,1.0,1,-1,,,,,155,3,3,1,2,3,7,4,2,5,0,3,0.018633540372670808,0.0,0.030120481927710843,0,1,0,0,0.0,0.0,0.029411764705882353,Low,Low,-0.7846124
26,13,Straight,165,red,159.0,176.30612,26.880000000000003,24.96,0.05,0.5,0.075,8250,2,0.0,1.0,0,-1,,,,,140,3,3,1,2,1,10,14,3,2,3,2,0.0125,0.6,0.012345679012345678,0,1,1,1,0.021739130434782608,1.0,0.02127659574468085,High,Medium,0.23130554
27,14,Straight,153,green,159.0,211.84694,-26.880000000000003,28.8,0.05,0.875,0.075,7650,0,1.0,1.0,1,-1,,,,,151,2,2,3,1,2,8,5,2,2,2,1,0.006711409395973154,0.5,0.013245033112582781,0,0,0,1,0.04,0.0,0.0,High,High,-0.9866222
28,15,Straight,217,green,128.0,20.0,26.880000000000003,-24.96,0.015,0.125,0.075,10850,1,0.0,0.0,0,-1,,,,,204,2,2,3,1,2,10,19,2,6,1,2,0.009569377990430622,0.125,0.027906976744186046,0,1,0,0,0.0,0.0,0.017241379310344827,Low,Low,-0.8827237
29,16,Straight,234,blue,97.0,107.70408,-26.880000000000003,-28.8,0.015,0.5,0.075,11700,2,1.0,0.0,1,-1,,,,,209,2,2,3,1,3,10,16,6,1,1,6,0.02643171806167401,0.14285714285714285,0.0043859649122807015,0,0,0,2,0.04081632653061224,0.0,0.0,Low,Medium,0.35094428
30,17,Straight,165,red,97.0,20.0,26.880000000000003,-24.96,0.05,0.875,0.075,8250,0,0.0,0.0,0,-1,,,,,163,1,1,2,3,1,10,15,3,3,6,4,0.025157232704402517,1.0,0.018518518518518517,0,0,0,1,0.04,0.0,0.0,High,High,-0.9503184
31,18,Straight,155,green,97.0,217.82654,-26.880000000000003,24.96,0.05,0.125,0.075,7750,2,1.0,1.0,0,-1,,,,,130,1,1,2,3,2,6,14,2,3,0,5,0.03333333333333333,0.0,0.0196078431372549,0,1,0,2,0.046511627906976744,0.0,0.022727272727272728,High,Low,0.37704438
32,19,Straight,197,red,97.0,72.62245,26.880000000000003,-28.8,0.015,0.5,0.075,9850,0,0.0,0.0,1,-1,,,,,195,1,1,2,3,1,2,3,3,3,2,2,0.010471204188481676,0.3333333333333333,0.015463917525773196,2,0,1,0,0.0,0.5,0.0,Low,Medium,-0.9791672
33,20,Straight,219,blue,128.0,20.0,26.880000000000003,-28.8,0.015,0.875,0.075,10950,1,0.0,0.0,1,-1,,,,,206,3,3,1,2,3,5,6,4,2,5,1,0.004694835680751174,0.8333333333333334,0.009302325581395349,0,1,1,0,0.0,1.0,0.019230769230769232,Low,High,-0.94068533
34,21,Straight,157,blue,159.0,187.69388,26.880000000000003,28.8,0.05,0.125,0.075,7850,2,0.0,1.0,1,-1,,,,,132,2,2,3,1,3,10,9,3,3,0,5,0.033112582781456956,0.0,0.01948051948051948,0,0,0,2,0.041666666666666664,0.0,0.0,High,Low,0.3764489
35,22,Straight,304,red,159.0,166.35715,-26.880000000000003,24.96,0.05,0.5,0.075,15200,0,1.0,1.0,0,-1,,,,,302,1,1,2,3,1,4,19,6,5,4,10,0.034129692832764506,0.36363636363636365,0.016778523489932886,1,1,1,2,0.028169014084507043,0.5,0.013888888888888888,High,Medium,-0.93290544
36,23,Straight,288,green,128.0,90.30612,-26.880000000000003,-24.96,0.015,0.875,0.075,14400,1,1.0,0.0,0,-1,,,,,275,1,1,2,3,2,1,4,5,6,10,3,0.010830324909747292,0.9090909090909091,0.02120141342756184,0,2,2,2,0.0273972602739726,1.0,0.02666666666666667,Low,High,0.12355653
37,24,Straight,196,red,159.0,29.94898,26.880000000000003,-24.96,0.015,0.125,0.075,9800,2,0.0,0.0,0,-1,,,,,171,1,1,2,3,1,7,7,3,2,4,2,0.010471204188481676,0.8,0.010362694300518135,0,0,0,1,0.013888888888888888,0.0,0.0,Low,Low,-0.7707136
38,25,Straight,298,green,128.0,32.795918,-26.880000000000003,-28.8,0.05,0.5,0.075,14900,1,1.0,0.0,1,-1,,,,,285,1,1,2,3,2,5,18,4,9,2,8,0.028070175438596492,0.15384615384615385,0.030612244897959183,1,3,0,6,0.058823529411764705,0.0,0.02857142857142857,High,Medium,0.25964648
39,26,Straight,268,blue,159.0,44.15306,-26.880000000000003,-28.8,0.05,0.875,0.075,13400,0,1.0,0.0,1,-1,,,,,266,3,3,1,2,3,1,3,5,4,7,5,0.019305019305019305,0.7777777777777778,0.015209125475285171,0,3,1,0,0.0,0.3333333333333333,0.0625,High,High,-0.96176267
40,27,Straight,207,red,159.0,176.30612,-26.880000000000003,24.96,0.015,0.125,0.075,10350,0,1.0,1.0,0,-1,,,,,205,1,1,2,3,1,3,3,2,4,0,4,0.01990049751243781,0.0,0.01951219512195122,1,0,0,2,0.041666666666666664,0.0,0.0,Low,Low,-0.960595
41,28,Straight,165,blue,128.0,159.22449,26.880000000000003,28.8,0.015,0.5,0.075,8250,1,0.0,1.0,1,-1,,,,,152,3,3,1,2,3,7,2,1,6,4,1,0.006329113924050633,0.5714285714285714,0.036585365853658534,0,3,2,1,0.014492753623188406,0.6666666666666666,0.041666666666666664,Low,Medium,-0.9208427
42,29,Straight,150,green,159.0,166.35715,26.880000000000003,24.96,0.05,0.875,0.075,7500,2,0.0,1.0,0,-1,,,,,125,3,3,1,2,2,4,13,2,3,4,6,0.041379310344827586,0.8,0.02027027027027027,0,0,0,4,0.08333333333333333,0.0,0.0,High,High,0.19711356
43,30,Straight,230,green,159.0,219.89796,26.880000000000003,28.8,0.05,0.125,0.075,11500,2,0.0,1.0,1,-1,,,,,205,3,3,1,2,2,8,9,4,4,3,8,0.036036036036036036,0.375,0.017699115044247787,1,0,0,4,0.056338028169014086,0.0,0.0,High,Low,0.16904317
