Video ID,idx_trial,trial,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_x_position,idx_y_position,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_position,bounce_x_y,idx_pos_y_bounce,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
192,9,Nonwall,-1,1,1,0,1,19.0,249,red,119.88533,138.95543,-27.306666662399998,20.48,0.1,0.1,0.025,7470,-1,0.0,3.0,233,3,3,1,2,1,12,6,6,1,1,6,0.024793388429752067,0.14285714285714285,0.00411522633744856,2,0,1,2,0.03389830508474576,0.5,0.0,High,Low,0.32339892
193,10,Nonwall,-1,0,0,1,2,1.0,236,green,136.11467,94.03048,27.306666662399998,-34.1333333248,0.1,0.5125000000000001,0.025,7080,-1,0.0,1.0,220,1,1,2,3,2,10,5,5,1,6,6,0.02608695652173913,1.0,0.004329004329004329,1,0,1,1,0.014705882352941176,1.0,0.0,High,Medium,0.6785543
194,11,Nonwall,-1,0,1,0,2,12.0,237,blue,136.11467,118.672,27.306666662399998,20.48,0.0065,0.925,0.025,7110,-1,0.0,0.0,221,2,2,3,1,3,3,9,5,2,7,3,0.013043478260869565,1.0,0.008620689655172414,2,1,3,1,0.015384615384615385,1.0,0.015151515151515152,Low,High,0.82210296
195,12,Nonwall,-1,1,1,0,3,10.0,350,blue,158.11467,117.04457,27.306666662399998,-20.48,0.0065,0.1,0.025,10500,-1,1.0,4.0,336,2,2,3,1,3,19,10,7,2,3,0,0.0,0.3333333333333333,0.0058309037900874635,1,1,1,0,0.0,0.5,0.009523809523809525,Low,Low,0.33333334
196,13,Nonwall,-1,1,0,0,3,12.0,244,red,158.11467,118.672,27.306666662399998,20.48,0.1,0.5125000000000001,0.025,7320,-1,1.0,0.0,230,3,3,1,2,1,10,8,4,2,2,6,0.025210084033613446,0.3333333333333333,0.008333333333333333,1,1,0,3,0.047619047619047616,0.0,0.015625,High,Medium,0.4013418
197,14,Nonwall,-1,1,1,1,1,25.0,325,green,119.88533,153.90857,-27.306666662399998,34.1333333248,0.1,0.925,0.025,9750,-1,0.0,4.0,309,3,3,1,2,2,17,5,8,2,10,9,0.02857142857142857,1.0,0.006309148264984227,1,2,3,3,0.037037037037037035,1.0,0.024096385542168676,High,High,0.28627267
198,15,Nonwall,-1,0,0,0,0,27.0,224,green,97.88533,159.23886,-27.306666662399998,20.48,0.0065,0.1,0.025,6720,-1,1.0,6.0,210,2,2,3,1,2,11,2,6,0,0,2,0.009174311926605505,0.0,0.0,2,0,0,1,0.017543859649122806,0.0,0.0,Low,Low,-0.8872846
199,16,Nonwall,-1,0,0,1,2,3.0,260,blue,136.11467,98.06095,27.306666662399998,-34.1333333248,0.0065,0.5125000000000001,0.025,7800,-1,0.0,2.0,244,3,3,1,2,3,22,1,7,1,4,2,0.007936507936507936,0.5,0.003952569169960474,2,0,0,1,0.012195121951219513,0.0,0.0,Low,Medium,-0.44675687
200,17,Nonwall,-1,0,1,0,2,24.0,208,red,136.11467,152.4777,27.306666662399998,20.48,0.1,0.925,0.025,6240,-1,0.0,5.0,192,3,3,1,2,1,7,9,5,0,5,7,0.034482758620689655,1.0,0.0,2,0,2,3,0.05084745762711865,1.0,0.0,High,High,0.6029962
201,18,Nonwall,-1,0,0,1,2,3.0,261,red,136.11467,98.06095,27.306666662399998,-34.1333333248,0.1,0.1,0.025,7830,-1,0.0,2.0,245,1,1,2,3,1,1,2,8,1,0,8,0.031746031746031744,0.0,0.003952569169960474,2,0,0,2,0.03333333333333333,0.0,0.0,High,Low,-0.6262551
202,19,Nonwall,-1,0,1,0,0,13.0,229,green,97.88533,123.80572,-27.306666662399998,-20.48,0.0065,0.5125000000000001,0.025,6870,-1,1.0,5.0,215,2,2,3,1,2,15,4,6,2,4,0,0.0,0.5,0.008968609865470852,1,1,0,0,0.0,0.0,0.017241379310344827,Low,Medium,-0.5
203,20,Nonwall,-1,0,0,0,2,17.0,209,blue,136.11467,137.328,27.306666662399998,-20.48,0.0065,0.925,0.025,6270,-1,0.0,7.0,193,3,3,1,2,3,15,10,5,1,5,0,0.0,0.8333333333333334,0.004901960784313725,1,0,0,0,0.0,0.0,0.0,Low,High,-0.16666667
204,21,Nonwall,-1,1,1,1,3,3.0,218,blue,158.11467,98.06095,27.306666662399998,-34.1333333248,0.1,0.1,0.025,6540,-1,1.0,2.0,204,3,3,1,2,3,14,7,6,1,1,7,0.03317535545023697,0.14285714285714285,0.0047169811320754715,1,0,0,2,0.030303030303030304,0.0,0.0,High,Low,-0.5676634
205,22,Nonwall,-1,1,1,1,3,0.0,296,red,158.11467,90.0,27.306666662399998,-34.1333333248,0.1,0.5125000000000001,0.025,8880,-1,1.0,0.0,282,3,3,1,2,1,19,3,7,3,2,11,0.038461538461538464,0.2,0.010380622837370242,2,1,0,3,0.0379746835443038,0.0,0.0125,High,Medium,0.37303263
206,23,Nonwall,-1,1,0,1,1,7.0,455,green,119.88533,110.15238,-27.306666662399998,-34.1333333248,0.0065,0.925,0.025,13650,-1,0.0,5.0,439,1,1,2,3,2,23,10,13,3,16,1,0.002277904328018223,1.0,0.006787330316742082,3,3,6,0,0.0,1.0,0.023622047244094488,Low,High,0.9663761
207,24,Nonwall,-1,1,1,0,3,0.0,248,green,158.11467,90.0,27.306666662399998,-20.48,0.0065,0.1,0.025,7440,-1,1.0,0.0,234,2,2,3,1,2,9,2,6,2,1,0,0.0,0.125,0.008264462809917356,1,0,0,0,0.0,0.0,0.0,Low,Low,-0.875
208,25,Nonwall,-1,0,0,1,2,11.0,206,blue,136.11467,118.21333,27.306666662399998,-34.1333333248,0.1,0.5125000000000001,0.025,6180,-1,0.0,7.0,190,3,3,1,2,3,7,8,5,2,2,8,0.04020100502512563,0.2857142857142857,0.009950248756218905,2,0,1,1,0.01694915254237288,0.5,0.0,High,Medium,-0.42740604
209,26,Nonwall,-1,0,1,0,0,15.0,206,red,97.88533,130.56686,-27.306666662399998,-20.48,0.1,0.925,0.025,6180,-1,1.0,6.0,192,2,2,3,1,1,11,4,4,1,4,7,0.03482587064676617,0.8,0.0049504950495049506,2,0,1,4,0.07017543859649122,0.5,0.0,High,High,0.2501356
210,27,Nonwall,-1,1,0,0,1,10.0,326,red,119.88533,117.04457,-27.306666662399998,-20.48,0.0065,0.1,0.025,9780,-1,0.0,4.0,310,1,1,2,3,1,20,9,7,2,2,2,0.006309148264984227,0.2222222222222222,0.006269592476489028,2,1,0,0,0.0,0.0,0.010638297872340425,Low,Low,-0.70827246
211,28,Nonwall,-1,0,0,0,2,5.0,216,green,136.11467,103.522285,27.306666662399998,-20.48,0.0065,0.5125000000000001,0.025,6480,-1,0.0,2.0,200,1,1,2,3,2,5,8,4,1,3,1,0.004739336492890996,0.6,0.0047169811320754715,1,0,1,1,0.016666666666666666,1.0,0.0,Low,Medium,0.5853664
212,29,Nonwall,-1,1,1,0,3,15.0,221,blue,158.11467,130.56686,27.306666662399998,-20.48,0.1,0.925,0.025,6630,-1,1.0,6.0,207,2,2,3,1,3,20,3,5,1,6,7,0.03255813953488372,1.0,0.004629629629629629,1,1,2,3,0.05263157894736842,1.0,0.017241379310344827,High,High,0.6574052
213,30,Nonwall,-1,0,0,1,2,3.0,234,blue,136.11467,98.06095,27.306666662399998,-34.1333333248,0.1,0.1,0.025,7020,-1,0.0,2.0,218,3,3,1,2,3,17,8,6,1,0,8,0.03524229074889868,0.0,0.0043859649122807015,1,1,0,2,0.03389830508474576,0.0,0.016666666666666666,High,Low,-0.5967687
214,31,Nonwall,-1,1,1,1,1,23.0,476,red,119.88533,149.8781,-27.306666662399998,34.1333333248,0.0065,0.5125000000000001,0.025,14280,-1,0.0,3.0,460,1,1,2,3,1,23,2,13,3,8,2,0.004347826086956522,0.5,0.0064794816414686825,2,1,0,0,0.0,0.0,0.008333333333333333,Low,Medium,-0.46932083
215,32,Nonwall,-1,0,0,0,0,27.0,315,green,97.88533,159.23886,-27.306666662399998,20.48,0.0065,0.925,0.025,9450,-1,1.0,6.0,301,1,1,2,3,2,11,8,6,2,8,2,0.006514657980456026,1.0,0.006472491909385114,1,0,1,1,0.009615384615384616,1.0,0.0,Low,High,0.9186161
